screen_position,doi,title,year,venue,type,language,url,coder_name,date_screened,E1,E2,note
602,10.1109/smc54092.2024.10832104,Dual-Domain Attention Based Adaptive Graph Convolutional Network for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/smc54092.2024.10832104,,,,,
603,10.1049/sil2.12076,Brain lateralisation feature extraction and ant colony optimisation‐bidirectional LSTM network model for emotion recognition,2021,IET Signal Processing,article,en,https://doi.org/10.1049/sil2.12076,,,,,
604,10.3390/biomedinformatics5010005,Advancing Emotion Recognition: EEG Analysis and Machine Learning for Biomedical Human–Machine Interaction,2025,BioMedInformatics,article,en,https://doi.org/10.3390/biomedinformatics5010005,,,,,
605,10.1016/j.neunet.2024.106624,Emotion recognition using hierarchical spatial–temporal learning transformer from regional to global brain,2024,Neural Networks,article,en,https://doi.org/10.1016/j.neunet.2024.106624,,,,,
606,10.1109/access.2023.3275565,Simplified 2D CNN Architecture With Channel Selection for Emotion Recognition Using EEG Spectrogram,2023,IEEE Access,article,en,https://doi.org/10.1109/access.2023.3275565,,,,,
607,10.1109/fskd.2016.7603437,Emotion detection from EEG recordings,2016,,conference-paper,en,http://bura.brunel.ac.uk/handle/2438/13138,,,,,
608,10.1007/978-3-030-04221-9_20,Multi-view Emotion Recognition Using Deep Canonical Correlation Analysis,2018,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-030-04221-9_20,,,,,
609,10.1109/taffc.2018.2840973,A Mutual Information Based Adaptive Windowing of Informative EEG for Emotion Recognition,2018,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2018.2840973,,,,,
610,10.1007/s10791-025-09596-0,Hybrid CNN-transformer architecture for enhanced EEG-based emotion recognition: capturing local and global dependencies with self-attention mechanisms,2025,Discover Computing,article,en,https://doi.org/10.1007/s10791-025-09596-0,,,,,
611,10.1145/3766918.3766988,Robotic Recognition of Human Depression Based on Nonlinear EEG Features,2025,,conference-paper,,https://doi.org/10.1145/3766918.3766988,,,,,
612,10.2298/csis250215053w,A spatio-temporal graph neural network for EEG emotion recognition based on regional and global brain,2025,Computer Science and Information Systems,article,en,https://doi.org/10.2298/csis250215053w,,,,,
613,10.2139/ssrn.4768650,A Novel Multi-Source Contrastive Learning Approach for Robust Cross-Subject Emotion Recognition in Eeg Data,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4768650,,,,,
614,10.1007/s40815-023-01666-z,A Multi-view Semi-supervised Takagi–Sugeno–Kang Fuzzy System for EEG Emotion Classification,2024,International Journal of Fuzzy Systems,article,en,https://doi.org/10.1007/s40815-023-01666-z,,,,,
615,10.1016/j.bspc.2022.104141,A multiple frequency bands parallel spatial–temporal 3D deep residual learning framework for EEG-based emotion recognition,2022,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2022.104141,,,,,
616,10.1016/j.engappai.2025.113250,A dual-stream regional feature learning and adaptive fusion method for electroencephalogram-based emotion recognition,2025,Engineering Applications of Artificial Intelligence,article,en,https://doi.org/10.1016/j.engappai.2025.113250,,,,,
617,10.1109/bhi.2018.8333388,Recognizing affective state patterns using regularized learning with nonlinear dynamical features of EEG,2018,,conference-paper,en,https://doi.org/10.1109/bhi.2018.8333388,,,,,
618,10.1109/tnnls.2024.3493425,EEGMatch: Learning With Incomplete Labels for Semisupervised EEG-Based Cross-Subject Emotion Recognition,2024,IEEE Transactions on Neural Networks and Learning Systems,article,en,https://doi.org/10.1109/tnnls.2024.3493425,,,,,
619,10.1016/j.bspc.2021.102991,Emotion recognition by distinguishing appropriate EEG segments based on random matrix theory,2021,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2021.102991,,,,,
620,10.48550/arxiv.2110.05635,Real-time EEG-based Emotion Recognition using Discrete Wavelet\n Transforms on Full and Reduced Channel Signals,2021,arXiv (Cornell University),preprint,,http://arxiv.org/abs/2110.05635,,,,,
621,10.48550/arxiv.2304.06496,EEGMatch: Learning with Incomplete Labels for Semi-Supervised EEG-based Cross-Subject Emotion Recognition,2023,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2304.06496,,,,,
622,10.1109/bibm.2018.8621147,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks and Broad Learning System,2018,,conference-paper,en,https://doi.org/10.1109/bibm.2018.8621147,,,,,
623,10.1016/j.knosys.2025.114318,ProDG: A proxy-domain-guiding strategy for multi-source-free domain adaptation in EEG emotion recognition,2025,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2025.114318,,,,,
624,10.1007/s44443-025-00076-5,Adaptive dual-graph learning joint feature selection for EEG emotion recognition,2025,Journal of King Saud University - Computer and Information Sciences,article,en,https://doi.org/10.1007/s44443-025-00076-5,,,,,
625,10.1109/tcds.2019.2924648,Affective EEG-Based Person Identification Using the Deep Learning Approach,2019,IEEE Transactions on Cognitive and Developmental Systems,article,en,http://arxiv.org/abs/1807.03147,,,,,
626,10.1080/09540091.2023.2289833,Emotion recognition based on convolutional gated recurrent units with attention,2023,Connection Science,article,en,https://doi.org/10.1080/09540091.2023.2289833,,,,,
627,10.1109/asyu48272.2019.8946354,The Role of Extreme Learning Machine in Multi Classification based Emotion Recognition using EEG Signals,2019,2019 Innovations in Intelligent Systems and Applications Conference (ASYU),conference-paper,en,https://doi.org/10.1109/asyu48272.2019.8946354,,,,,
628,10.1109/civemsa45640.2019.9071612,EEG-based Emotion Recognition Under Convolutional Neural Network with Differential Entropy Feature Maps,2019,,conference-paper,en,https://doi.org/10.1109/civemsa45640.2019.9071612,,,,,
629,10.21203/rs.3.rs-4292055/v1,Towards non-invasive PTSD diagnosis: Utilising EEG based Emotion Recognition with the DEAP Database,2024,Research Square,preprint,en,http://dx.doi.org/10.21203/rs.3.rs-4292055/v1,,,,,
630,10.1109/ihmsc58761.2023.00056,EEG-Based Hardware-Oriented Lightweight 1D-CNN Emotion Classifier,2023,,conference-paper,en,https://doi.org/10.1109/ihmsc58761.2023.00056,,,,,
631,10.1109/tcbb.2020.3018137,Subject-Independent Emotion Recognition of EEG Signals Based on Dynamic Empirical Convolutional Neural Network,2020,IEEE Transactions on Computational Biology and Bioinformatics,article,en,https://doi.org/10.1109/tcbb.2020.3018137,,,,,
632,10.1007/978-3-030-64610-3_65,Fourier Transform vs. Graph Fourier Transform for EEG-Based Emotion Recognition,2020,"World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany",conference-paper,en,https://doi.org/10.1007/978-3-030-64610-3_65,,,,,
633,10.3390/e24101322,Automated Emotion Identification Using Fourier–Bessel Domain-Based Entropies,2022,Entropy,article,en,https://doi.org/10.3390/e24101322,,,,,
634,10.1109/ccdc65474.2025.11091117,Multi-Source Domain Adaptive Adversarial Training Network Emotion Recognition,2025,,conference-paper,en,https://doi.org/10.1109/ccdc65474.2025.11091117,,,,,
635,10.1145/3208788.3208804,Research on feature fusion for emotion recognition based on discriminative canonical correlation analysis,2018,,conference-paper,en,https://doi.org/10.1145/3208788.3208804,,,,,
636,10.3390/s24248174,Attention-Based PSO-LSTM for Emotion Estimation Using EEG,2024,Sensors,article,en,https://doi.org/10.3390/s24248174,,,,,
637,10.3389/fnins.2021.778488,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,2021,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2021.778488,,,,,
638,10.1109/jbhi.2020.2995767,Emotion Recognition From Multi-Channel EEG via Deep Forest,2020,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2020.2995767,,,,,
639,10.1016/j.bspc.2024.107019,DAEEGViT: A domain adaptive vision transformer framework for EEG cognitive state identification,2024,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2024.107019,,,,,
640,10.1109/ijcnn55064.2022.9892017,E-EmotiConNet: EEG-based Emotion Recognition with Context Information,2022,2022 International Joint Conference on Neural Networks (IJCNN),conference-paper,en,https://doi.org/10.1109/ijcnn55064.2022.9892017,,,,,
641,10.3389/fnins.2021.611653,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,2021,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2021.611653,,,,,
642,10.1155/2022/6000989,Entropy-Based Emotion Recognition from Multichannel EEG Signals Using Artificial Neural Network,2022,Computational Intelligence and Neuroscience,article,en,https://doi.org/10.1155/2022/6000989,,,,,
643,10.1007/s11571-024-10132-x,Affective EEG-based cross-session person identification using hierarchical graph embedding,2024,Cognitive Neurodynamics,article,en,https://www.ncbi.nlm.nih.gov/pmc/articles/11564420,,,,,
644,10.1109/tencon55691.2022.9978122,Wavelet based Emotion Detection from Multi-channel EEG using a Hybrid CNN-LSTM Model,2022,TENCON 2022 - 2022 IEEE Region 10 Conference (TENCON),conference-paper,en,https://doi.org/10.1109/tencon55691.2022.9978122,,,,,
645,10.48550/arxiv.2403.04041,Cascaded Self-supervised Learning for Subject-independent EEG-based Emotion Recognition,2024,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2403.04041,,,,,
646,10.3390/app10041525,Deep Learning for EEG-Based Preference Classification in Neuromarketing,2020,Applied Sciences,article,en,https://doi.org/10.3390/app10041525,,,,,
647,10.1007/978-3-031-23179-7_8,Conditional Domain Adaptation Based on Initial Distribution Discrepancy for EEG Emotion Recognition,2023,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-23179-7_8,,,,,
648,10.1007/978-3-032-04927-8_42,Multi-expert Collaboration and Knowledge Enhancement Network for Multimodal Emotion Recognition,2025,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-032-04927-8_42,,,,,
649,10.1109/access.2023.3266117,Bi-Branch Vision Transformer Network for EEG Emotion Recognition,2023,IEEE Access,article,en,https://doi.org/10.1109/access.2023.3266117,,,,,
650,10.1109/icsidp62679.2024.10868339,Adaptive Nonlinear Causal Quantification for Real-Time Emotion Analysis using EMD-based Causal Decomposition,2024,,conference-paper,en,https://doi.org/10.1109/icsidp62679.2024.10868339,,,,,
651,10.20885/enthusiastic.vol2.iss2.art6,Optimal Classification of Emotions from Electroencephalography (EEG) Signals,2022,Enthusiastic International Journal of Applied Statistics and Data Science,article,en,http://dx.doi.org/10.20885/enthusiastic.vol2.iss2.art6,,,,,
652,10.1007/s41870-024-02400-0,Emotion recognition using VMD domain bandwidth and spectral features,2025,International Journal of Information Technology,article,en,https://doi.org/10.1007/s41870-024-02400-0,,,,,
653,10.1016/j.neucom.2021.03.105,Differences first in asymmetric brain: A bi-hemisphere discrepancy convolutional neural network for EEG emotion recognition,2021,Neurocomputing,article,en,https://doi.org/10.1016/j.neucom.2021.03.105,,,,,
654,10.1016/j.bspc.2025.109223,Real-time EEG-based emotion recognition using Riemannian quantification learning,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.109223,,,,,
655,10.1109/bibm58861.2023.10385595,LUR: An Online Learning Model for EEG Emotion Recognition,2023,,conference-paper,en,https://doi.org/10.1109/bibm58861.2023.10385595,,,,,
656,10.1109/cyber59472.2023.10256529,EEG Emotion Recognition of Different Brain Regions Based on 2DCNN-DGRU,2023,,conference-paper,en,https://doi.org/10.1109/cyber59472.2023.10256529,,,,,
657,10.1080/10447318.2023.2254626,An Efficacy Analysis of Affect Representation Methodologies Used in EEG-Based Emotion Recognition System: An Unsupervised Approach,2023,International Journal of Human-Computer Interaction,article,en,https://doi.org/10.1080/10447318.2023.2254626,,,,,
658,10.1109/ner52421.2023.10123837,Adversarial Discriminative Domain Adaptation and Transformers for EEG-based Cross-Subject Emotion Recognition,2023,,conference-paper,en,https://doi.org/10.1109/ner52421.2023.10123837,,,,,
659,10.1109/icbdse65491.2025.11220053,EEG-Based Emotion Recognition Using Task-Irrelevant Information Decoupling,2025,,conference-paper,,https://doi.org/10.1109/icbdse65491.2025.11220053,,,,,
660,10.1016/j.knosys.2025.113762,Temporal-spectral-spatial synchronization attention-based network for EEG emotion recognition,2025,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2025.113762,,,,,
661,10.48550/arxiv.2511.05293,Cross-domain EEG-based Emotion Recognition with Contrastive Learning,2025,arXiv (Cornell University),preprint,,https://doi.org/10.48550/arxiv.2511.05293,,,,,
662,10.1609/aaai.v38i9.28891,Beyond Mimicking Under-Represented Emotions: Deep Data Augmentation with Emotional Subspace Constraints for EEG-Based Emotion Recognition,2024,Proceedings of the AAAI Conference on Artificial Intelligence,conference-paper,en,https://doi.org/10.1609/aaai.v38i9.28891,,,,,
663,10.1016/j.knosys.2025.114650,Fine-grained label propagation via density-based prototype matching for cross-subject EEG emotion recognition,2025,Knowledge-Based Systems,article,en,https://doi.org/10.1016/j.knosys.2025.114650,,,,,
664,10.1109/bibm66473.2025.11356326,A Spatio-Temporal Expert Fusion Framework Integrating Mamba and KAN for EEG Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/bibm66473.2025.11356326,,,,,
665,10.1007/978-981-99-0248-4_27,An Advanced Data Augmentation Scheme on Limited EEG Signals for Human Emotion Recognition,2023,Lecture notes in electrical engineering,book-chapter,en,https://doi.org/10.1007/978-981-99-0248-4_27,,,,,
666,10.62441/nano-ntp.v20is2.25,EEG-Based Emotion Recognition Using Deep Learning Model for Workers Safet,2024,Nanotechnology Perceptions,article,en,https://doi.org/10.62441/nano-ntp.v20is2.25,,,,,
667,10.1016/j.smhl.2021.100261,"EEG classification with spiking neural network: Smaller, better, more energy efficient",2022,Smart Health,article,en,https://doi.org/10.1016/j.smhl.2021.100261,,,,,
668,10.1109/ijcnn60899.2024.10650004,Adaptive Federated Learning for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/ijcnn60899.2024.10650004,,,,,
669,10.1109/tcds.2025.3595203,CIDDA: Classifier-Driven Implicit Discriminator Domain Adaptation for EEG-Based Emotion Recognition and Depression Severity Grading,2025,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2025.3595203,,,,,
670,,Deep Learning Approaches for EEG-Based Emotion Recognition: A Systematic Review on DEAP and DREAMER,2025,Kocaeli Üniversitesi - AVESİS,review,en,,,,,,
671,10.3390/s20247083,Hybrid Method of Automated EEG Signals’ Selection Using Reversed Correlation Algorithm for Improved Classification of Emotions,2020,Sensors,article,en,https://doi.org/10.3390/s20247083,,,,,
672,10.1109/cfis.2018.8336626,Robust emotion classification using neural network models,2018,,conference-paper,en,https://doi.org/10.1109/cfis.2018.8336626,,,,,
673,10.1109/ijcnn64981.2025.11228357,A Bidirectional Selective State Space Model with Multi-scale Convolution and Additive Gated Attention for Cross-Subject Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/ijcnn64981.2025.11228357,,,,,
674,10.1142/s0129065722500216,Deep Learning Methods for Multi-Channel EEG-Based Emotion Recognition,2022,International Journal of Neural Systems,article,en,https://doi.org/10.1142/s0129065722500216,,,,,
675,10.1109/spcnc68200.2025.11406238,KAN-based Attention-temporal Graph Network for EEG-based Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/spcnc68200.2025.11406238,,,,,
676,10.3390/app13031954,A Two-Step Framework to Recognize Emotion Using the Combinations of Adjacent Frequency Bands of EEG,2023,Applied Sciences,article,en,https://doi.org/10.3390/app13031954,,,,,
677,10.1007/s11571-025-10399-8,C2DGCN: cross-connected distributive learning-enabled graph convolutional network for human emotion recognition using electroencephalography signal,2025,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC12743052/,,,,,
678,10.1007/978-3-031-53827-8_11,Cross Cultural Comparison of Emotional Functional Networks,2024,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-031-53827-8_11,,,,,
679,10.1007/978-3-031-14054-9_26,Average Power Based EEG Channel Selection Method for Emotion Recognition,2022,Advances in intelligent systems and computing,conference-paper,en,https://doi.org/10.1007/978-3-031-14054-9_26,,,,,
680,10.1109/aivrv63595.2024.10860141,DFSMDA: A Domain Adaptation Algorithm with Domain Feature Extraction for EEG Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1109/aivrv63595.2024.10860141,,,,,
681,10.1109/embc40787.2023.10341106,Decoding Emotions From EEG Responses Elicited by Videos Using Machine Learning Techniques on Two Datasets,2023,,conference-paper,en,https://doi.org/10.1109/embc40787.2023.10341106,,,,,
682,10.48550/arxiv.2511.08444,One Model for All: Universal Pre-training for EEG based Emotion Recognition across Heterogeneous Datasets and Paradigms,2025,arXiv (Cornell University),preprint,,https://arxiv.org/abs/2511.08444,,,,,
683,10.3390/bioengineering10010054,A Novel Baseline Removal Paradigm for Subject-Independent Features in Emotion Classification Using EEG,2023,Bioengineering,article,en,https://doi.org/10.3390/bioengineering10010054,,,,,
684,10.3934/mbe.2024210,Cross-subject EEG-based emotion recognition through dynamic optimization of random forest with sparrow search algorithm,2024,Mathematical Biosciences & Engineering,article,en,https://doi.org/10.3934/mbe.2024210,,,,,
685,10.21203/rs.3.rs-4576378/v1,Application of a Multi-Source Multi-Task Weight Adaptation Framework for Cross-Domain EEG Emotion Recognition(MS-MWA),2024,Research Square,preprint,en,http://dx.doi.org/10.21203/rs.3.rs-4576378/v1,,,,,
686,10.4103/jmss.jmss_59_22,An Emotion Recognition Embedded System using a Lightweight Deep Learning Model,2023,Journal of Medical Signals & Sensors,article,en,https://doi.org/10.4103/jmss.jmss_59_22,,,,,
687,10.1016/j.bspc.2023.104835,EEG emotion recognition using attention-based convolutional transformer neural network,2023,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2023.104835,,,,,
688,10.1186/s40708-025-00265-y,An automated extraction of spectral-temporal and spatial-temporal features of EEG for emotion detection,2025,Brain Informatics,article,en,https://doi.org/10.1186/s40708-025-00265-y,,,,,
689,10.1201/9781003371540-5,Optimal EEG Electrode Set for Emotion Recognition from Brain Signals: An Empirical Quest,2024,,book-chapter,en,https://doi.org/10.1201/9781003371540-5,,,,,
690,10.1515/bmt-2020-0295,Emotion recognition using time–frequency ridges of EEG signals based on multivariate synchrosqueezing transform,2021,Biomedizinische Technik/Biomedical Engineering,article,en,https://doi.org/10.1515/bmt-2020-0295,,,,,
691,10.1109/itaic64559.2025.11163149,An EEG emotion recognition method based on shallow feedback spiking neural network,2025,,conference-paper,en,https://doi.org/10.1109/itaic64559.2025.11163149,,,,,
692,10.1007/978-3-032-05162-2_2,A Novel Fourier Adjacency Transformer for Advanced EEG Emotion Recognition,2025,Lecture notes in computer science,conference-paper,en,https://doi.org/10.1007/978-3-032-05162-2_2,,,,,
693,10.1088/1741-2552/ad3987,Cross-modal credibility modelling for EEG-based multimodal emotion recognition,2024,Journal of Neural Engineering,article,en,https://doi.org/10.1088/1741-2552/ad3987,,,,,
694,10.1109/access.2019.2908285,Accurate EEG-Based Emotion Recognition on Combined Features Using Deep Convolutional Neural Networks,2019,IEEE Access,article,en,https://doi.org/10.1109/access.2019.2908285,,,,,
695,10.1007/s00530-025-01894-3,Unsupervised subdomain adaptation framework guided by pseudo label for cross-subject and cross-session EEG emotion recognition,2025,Multimedia Systems,article,en,https://doi.org/10.1007/s00530-025-01894-3,,,,,
696,10.1016/j.asoc.2024.111635,EEG emotion recognition based on the TimesNet fusion model,2024,Applied Soft Computing,article,en,https://doi.org/10.1016/j.asoc.2024.111635,,,,,
697,10.1109/icccnt56998.2023.10308188,Emotion Recognition from Electroencephalogram using Variational Mode Decomposition and optimized Fuzzy K-Nearest Neighbor Algorithm,2023,,conference-paper,en,https://doi.org/10.1109/icccnt56998.2023.10308188,,,,,
698,10.1109/icecct56650.2023.10179711,EEG evoked automated emotion recognition using deep convolutional neural network,2023,,conference-paper,en,https://doi.org/10.1109/icecct56650.2023.10179711,,,,,
699,10.1109/jsen.2020.3027181,A Novel Multivariate-Multiscale Approach for Computing EEG Spectral and Temporal Complexity for Human Emotion Recognition,2020,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2020.3027181,,,,,
700,10.1186/s40537-020-00289-7,A comparative analysis of machine learning methods for emotion recognition using EEG and peripheral physiological signals,2020,Journal Of Big Data,article,en,https://doi.org/10.1186/s40537-020-00289-7,,,,,
701,,EMD와 FFT를 이용한 EEG 기반 감정 인식에 관한 연구,2013,International Conference on Human-Computer Interaction,conference-paper,ko,,,,,,
702,10.1016/j.cmpb.2023.107927,EESCN: A novel spiking neural network method for EEG-based emotion recognition,2023,Computer Methods and Programs in Biomedicine,article,en,https://doi.org/10.1016/j.cmpb.2023.107927,,,,,
703,10.1088/1402-4896/ad5237,A novel semi-supervised deep learning method for enhancing discriminability and diversity in EEG-based emotion recognition task,2024,Physica Scripta,article,en,https://doi.org/10.1088/1402-4896/ad5237,,,,,
704,10.1109/icrito56286.2022.9964843,EEG-based Emotion Identification using General Factor Analysis,2022,"2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",conference-paper,en,https://doi.org/10.1109/icrito56286.2022.9964843,,,,,
705,10.1109/embc.2018.8512865,EEG Data Augmentation for Emotion Recognition Using a Conditional Wasserstein GAN,2018,,conference-paper,en,https://doi.org/10.1109/embc.2018.8512865,,,,,
706,10.1016/j.brainresbull.2024.110901,MGFKD: A semi-supervised multi-source domain adaptation algorithm for cross-subject EEG emotion recognition,2024,Brain Research Bulletin,article,en,https://doi.org/10.1016/j.brainresbull.2024.110901,,,,,
707,10.1109/iscait64916.2025.11010369,EEG emotion recognition based on 2DSinc convolution and attention mechanism,2025,,conference-paper,en,https://doi.org/10.1109/iscait64916.2025.11010369,,,,,
708,10.1109/cisp-bmei56279.2022.9979849,EEG-Based Emotion Recognition by Using Machine Learning and Deep Learning,2022,"2022 15th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",conference-paper,en,https://doi.org/10.1109/cisp-bmei56279.2022.9979849,,,,,
709,10.1109/icnlp65360.2025.11108635,EEG Emotion Recognition Based on Multi-View and Multi-Scale Fusion Network,2025,,conference-paper,en,https://doi.org/10.1109/icnlp65360.2025.11108635,,,,,
710,10.1109/ismsit67332.2025.11268050,Comparative Study of Classical ML and Deep Learning on Small EEG Datasets,2025,,conference-paper,,https://doi.org/10.1109/ismsit67332.2025.11268050,,,,,
711,10.1109/jsen.2021.3120787,A Computerized Approach for Automatic Human Emotion Recognition Using Sliding Mode Singular Spectrum Analysis,2021,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2021.3120787,,,,,
712,10.3390/s21041262,Multi-Scale Frequency Bands Ensemble Learning for EEG-Based Emotion Recognition,2021,Sensors,article,en,https://doi.org/10.3390/s21041262,,,,,
713,10.53555/ajbr.v27i6s.5147,Power Spectral Density Based Discrete Emotional State Recognition System Using Electroencephalography Signals,2024,African Journal of Biomedical Research,article,en,https://doi.org/10.53555/ajbr.v27i6s.5147,,,,,
714,10.1016/j.bspc.2025.109082,Electrode quantity outperforms spatial topology in EEG-based emotion recognition: A dual-CNN study on electrode configuration,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.109082,,,,,
715,10.1007/s10044-025-01501-1,Subject-independent multi-channel voting for EEG-based emotion recognition using wavelet scattering deep network and advanced signal metrics,2025,Pattern Analysis and Applications,article,en,https://doi.org/10.1007/s10044-025-01501-1,,,,,
716,10.1109/jbhi.2024.3384816,Evolutionary Ensemble Learning for EEG-Based Cross-Subject Emotion Recognition,2024,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2024.3384816,,,,,
717,10.1109/icassp49357.2023.10094939,EEG Emotion Recognition Via Ensemble Learning Representations,2023,,conference-paper,en,https://doi.org/10.1109/icassp49357.2023.10094939,,,,,
718,10.1109/ccwc57344.2023.10099220,Electroencephalogram-based Emotion Recognition with Hybrid Graph Convolutional Network Model,2023,,conference-paper,en,https://doi.org/10.1109/ccwc57344.2023.10099220,,,,,
719,10.1142/s0218126623501256,Multi-Modal Emotion Recognition Combining Face Image and EEG Signal,2022,Journal of Circuits Systems and Computers,article,en,https://doi.org/10.1142/s0218126623501256,,,,,
720,10.1007/s00500-025-10653-5,Explainable Grouped Deep Echo State Network for EEG-based emotion recognition,2025,Soft Computing,article,en,https://doi.org/10.1007/s00500-025-10653-5,,,,,
721,10.3390/electronics9121988,Deep Learning Method for Selecting Effective Models and Feature Groups in Emotion Recognition Using an Asian Multimodal Database,2020,Electronics,article,en,https://doi.org/10.3390/electronics9121988,,,,,
722,10.3329/jsr.v17i3.78907,Robust EEG-Based Emotion Recognition using CNN: A High-Accuracy Approach with Differential Entropy Features and Spatial-Frequency Domain Analysis on the SEED Dataset,2025,Journal of Scientific Research,article,,https://doi.org/10.3329/jsr.v17i3.78907,,,,,
723,10.48550/arxiv.2408.12124,Recording Brain Activity While Listening to Music Using Wearable EEG Devices Combined with Bidirectional Long Short-Term Memory Networks,2024,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2408.12124,,,,,
724,10.1016/j.bspc.2022.104060,A data augmentation and channel selection technique for grading human emotions on DEAP dataset,2022,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2022.104060,,,,,
725,10.3390/info13110550,Multimodal EEG Emotion Recognition Based on the Attention Recurrent Graph Convolutional Network,2022,Information,article,en,https://doi.org/10.3390/info13110550,,,,,
726,10.3389/fnins.2023.1213099,Local domain generalization with low-rank constraint for EEG-based emotion recognition,2023,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2023.1213099,,,,,
727,10.1109/tcds.2022.3175538,Causal Graph Convolutional Neural Network for Emotion Recognition,2022,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2022.3175538,,,,,
728,10.1016/j.compbiomed.2022.105519,Cross-subject EEG emotion recognition combined with connectivity features and meta-transfer learning,2022,Computers in Biology and Medicine,article,en,https://doi.org/10.1016/j.compbiomed.2022.105519,,,,,
729,10.14988/00029317,音楽と脳波に基づく感情推定における個体差の影響,2022,Institutional Repositories DataBase (IRDB),article,ja,https://doshisha.repo.nii.ac.jp/records/29318,,,,,
730,10.1142/s0219519424400220,AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING,2024,Journal of Mechanics in Medicine and Biology,article,en,https://doi.org/10.1142/s0219519424400220,,,,,
731,10.3389/fnins.2021.626277,Cross-Subject EEG-Based Emotion Recognition Through Neural Networks With Stratified Normalization,2021,Frontiers in Neuroscience,article,en,https://doi.org/10.3389/fnins.2021.626277,,,,,
732,10.1088/1741-2552/ac49a7,Investigating EEG-based functional connectivity patterns for multimodal emotion recognition,2022,Journal of Neural Engineering,article,en,https://doi.org/10.1088/1741-2552/ac49a7,,,,,
733,10.1007/s11571-024-10162-5,Set-pMAE: spatial-spEctral-temporal based parallel masked autoEncoder for EEG emotion recognition,2024,Cognitive Neurodynamics,article,en,https://pmc.ncbi.nlm.nih.gov/articles/PMC11655997/,,,,,
734,10.1109/tcds.2025.3590031,BERN: A Novel Framework for Enhanced Emotion Recognition Through the Integration of EEG and Eye Movement Features,2025,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2025.3590031,,,,,
735,10.1016/j.bspc.2023.105136,A multi-task hybrid emotion recognition network based on EEG signals,2023,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2023.105136,,,,,
736,10.1186/s40648-025-00322-5,Development of emotion recognition for rehabilitation feedback system using wavelet transform and LSTM,2025,ROBOMECH Journal,article,en,https://doi.org/10.1186/s40648-025-00322-5,,,,,
